,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_EMP_PHONE,FLAG_PHONE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,AMT_REQ_CREDIT_BUREAU_HOUR,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Security staff,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE_Industry: type 10,ORGANIZATION_TYPE_Security,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE_XNA,HOUSETYPE_MODE_block of flats,WALLSMATERIAL_MODE_Panel,EMERGENCYSTATE_MODE_No,DAYS_EMPLOYED_PERC,ANNUITY_INCOME_PERC,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_VAR,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_ACTIVE_Bad debt_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_CREDIT_CURRENCY_currency 1_MEAN,BURO_CREDIT_TYPE_Consumer credit_MEAN,BURO_CREDIT_TYPE_Credit card_MEAN,BURO_CREDIT_TYPE_Loan for working capital replenishment_MEAN,BURO_CREDIT_TYPE_Mortgage_MEAN,CLOSED_DAYS_CREDIT_MIN,CLOSED_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_MEAN,CLOSED_DAYS_CREDIT_ENDDATE_MIN,CLOSED_DAYS_CREDIT_UPDATE_MEAN,CLOSED_AMT_CREDIT_SUM_MAX,CLOSED_AMT_CREDIT_SUM_MEAN,CLOSED_MONTHS_BALANCE_SIZE_SUM,PREV_RATE_DOWN_PAYMENT_MAX,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,PREV_NAME_CONTRACT_TYPE_XNA_MEAN,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_CODE_REJECT_REASON_LIMIT_MEAN,PREV_CODE_REJECT_REASON_SCO_MEAN,PREV_CODE_REJECT_REASON_SCOFR_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,PREV_NAME_GOODS_CATEGORY_Computers_MEAN,PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,PREV_NAME_PORTFOLIO_Cards_MEAN,PREV_NAME_PORTFOLIO_XNA_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,PREV_NAME_YIELD_GROUP_XNA_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_low_action_MEAN,PREV_NAME_YIELD_GROUP_low_normal_MEAN,PREV_PRODUCT_COMBINATION_Card Street_MEAN,PREV_PRODUCT_COMBINATION_Cash_MEAN,PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,PREV_PRODUCT_COMBINATION_nan_MEAN,APPROVED_AMT_ANNUITY_MAX,APPROVED_AMT_DOWN_PAYMENT_MAX,APPROVED_RATE_DOWN_PAYMENT_MAX,APPROVED_RATE_DOWN_PAYMENT_MEAN,APPROVED_DAYS_DECISION_MIN,APPROVED_DAYS_DECISION_MEAN,APPROVED_CNT_PAYMENT_MEAN,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,POS_NAME_CONTRACT_STATUS_Active_MEAN,POS_COUNT,INSTAL_PAYMENT_DIFF_MAX,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_SUM
12628,114722,0.0,0,1,675000.0,0.00496,-21276,-1449.0,-9643.0,-1932,1,0,2,2,0,0,0,0.5851262549959867,0.5762088360175724,-304.0,1,0,0.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0681049069373942,0.209,-398.0,-398.0,-398.0,,-64.0,-64.0,-64.0,-63.0,86828.625,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-398.0,-398.0,-398.0,-64.0,-63.0,86828.625,86828.625,0.0,0.2178003776693915,0.2178003776693915,-304.0,-189.5,16.0,0.5,0.25,0.0,1.0,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.75,0.5,0.25,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.25,0.0,0.75,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,9000.0,18496.485,0.2178003776693915,0.2178003776693915,-304.0,-237.0,6.0,-8.0,5.0,0.8,5.0,0.0,-109.6875,-1755.0
41704,148286,0.0,1,0,450000.0,0.00496,-20193,-1855.0,-8606.0,-1471,1,1,2,2,0,0,0,0.4619331592478429,0.6430255641096323,-634.0,1,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0918635170603674,0.141875,-999.0,-267.0,-566.0,131172.0,-451.0,31169.0,10117.333333333334,-221.5,156611.25,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,-999.0,-731.0,-865.0,-451.0,-405.5,161595.0,156847.5,0.0,0.0,0.0,-634.0,-392.5,18.0,0.25,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.75,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,19971.54,0.0,0.0,0.0,-634.0,-518.0,18.0,-10.681818181818182,22.0,0.9545454545454546,22.0,0.0,-323.7142857142857,-6798.0
24498,128499,0.0,0,0,765000.0,0.019101,-15947,-5738.0,-8638.0,-2762,1,0,2,2,0,1,1,0.7072123549732142,0.3672910183026313,-210.0,1,0,0.0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.3598168934595849,0.52092,-903.0,-903.0,-903.0,,917.0,917.0,917.0,-32.0,900000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.1089090909090909,0.1051427510102016,-2345.0,-806.8,6.8,0.2,0.4,0.0,0.8,0.0,0.8,0.2,0.4,0.2,0.0,0.0,0.0,0.8,0.0,0.2,0.2,0.0,0.0,0.6,0.4,0.0,0.0,0.6,0.0,0.0,0.6,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,47982.87,13905.0,0.1089090909090909,0.1051427510102016,-2345.0,-956.0,8.5,-45.40909090909091,22.0,0.8636363636363636,22.0,0.0,-921.5,-29488.0
37591,143543,0.0,0,1,990000.0,0.002042,-11427,-1648.0,-4007.0,-3727,1,0,3,3,0,0,0,0.3878942996163708,0.6817058776720116,-638.0,1,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1442198302266561,0.1746216216216216,-513.0,-513.0,-513.0,,-148.0,-148.0,-148.0,-238.0,79830.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-513.0,-513.0,-513.0,-148.0,-238.0,79830.0,79830.0,17.0,0.106686456400742,0.1053939953149297,-1365.0,-861.0,12.5,0.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48334.95,21055.5,0.106686456400742,0.1053939953149297,-1365.0,-861.0,12.5,-33.2,25.0,0.88,25.0,0.0,-1018.3636363636364,-22404.0
19057,122226,0.0,0,1,1354500.0,0.010006,-13098,-4780.0,-3452.0,-5043,1,0,2,2,0,1,1,0.4647008240319959,0.633031641417419,-2851.0,1,0,0.0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3649412123988395,0.2330363636363636,-2874.0,-117.0,-1505.0,1137187.2,-2540.0,7192.0,419.3333333333333,-735.5,3133099.35,0.0,0.1666666666666666,0.0,0.8333333333333334,1.0,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,-2874.0,-440.0,-1782.6,-2540.0,-880.4,2700000.0,654719.22,0.0,0.115437461706634,0.0577347276058961,-2851.0,-1465.75,12.0,0.25,0.25,0.0,1.0,0.0,0.5,0.25,0.75,0.0,0.0,0.25,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,9118.35,2.925,3.199350515821829e-05,3.199350515821829e-05,-2851.0,-1534.0,6.0,-60.85,20.0,0.85,20.0,4404.87,-1547.3661971830986,-219726.0
6121,107155,0.0,1,0,292500.0,0.00823,-11555,-389.0,-4265.0,-1418,1,0,2,2,0,0,0,0.2163001785311028,,-368.0,1,0,,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0336650800519255,0.2938888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1050405252240114,0.0525202626120057,-1405.0,-886.5,3.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7875.0,1845.0,0.1050405252240114,0.0525202626120057,-1405.0,-886.5,3.0,-43.0,7.0,0.8571428571428571,7.0,0.0,-451.3076923076923,-11734.0
23845,127742,0.0,1,0,225000.0,0.018209,-22517,,-3865.0,-3981,0,1,3,3,0,0,0,0.5261153245325216,0.4400578303966329,-1002.0,1,0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,,0.1738181818181818,-2656.0,-202.0,-1433.2941176470588,856998.0955882351,-2283.0,31184.0,850.4705882352941,-1070.1764705882354,123131.25529411764,0.0,0.2941176470588235,0.0,0.7058823529411765,1.0,0.8823529411764706,0.1176470588235294,0.0,0.0,-2561.0,-513.0,-1556.4166666666667,-2226.0,-1159.5,225000.0,102822.33375,0.0,0.2178465103630924,0.1059487007288329,-2528.0,-1930.3333333333333,11.333333333333334,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,10121.58,9202.5,0.0999995918234065,0.0499997959117032,-2261.0,-1631.5,12.0,-50.51851851851852,27.0,0.9629629629629628,27.0,0.0,-1562.3846153846157,-40622.0
3708,104328,0.0,1,0,148500.0,0.00712,-22054,,-1426.0,-4279,0,0,2,2,0,0,0,0.5791153881313376,0.4223696523543468,-1131.0,1,0,0.0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,,0.0889444444444444,-1759.0,-569.0,-1246.5,219577.4285714286,-1579.0,1080.0,-402.375,-608.625,228958.3125,0.0,0.375,0.0,0.625,1.0,0.75,0.25,0.0,0.0,-1759.0,-569.0,-1357.2,-1579.0,-762.0,675000.0,204333.3,0.0,0.1044271489937899,0.0208854297987579,-2759.0,-1217.25,18.8,0.125,0.0,0.0,1.0,0.0,0.5,0.125,0.0,0.0,0.0,0.125,0.0,0.5,0.125,0.125,0.625,0.0,0.125,0.125,0.0,0.375,0.0,0.0,0.125,0.0,0.125,0.375,0.25,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,37822.005,2688.3,0.1044271489937899,0.0348090496645966,-2759.0,-1146.5,21.0,-28.615384615384617,39.0,0.9230769230769232,39.0,37807.11,-746.4054054054054,-27617.0
41282,147804,0.0,0,1,675000.0,0.030755,-12080,-254.0,-5949.0,-3693,1,0,2,2,0,1,1,0.6741743897765733,0.213966852261798,-947.0,1,0,0.0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0210264900662251,0.240975,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-947.0,-947.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8974.125,0.0,0.0,0.0,-947.0,-947.0,24.0,-19.0,25.0,0.96,25.0,0.0,-580.75,-13938.0
781,100895,0.0,1,0,675000.0,0.031329,-16054,-8026.0,-2992.0,-4389,1,0,2,2,0,0,0,0.7180575365896832,,-1347.0,1,0,,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999377102279805,0.2664,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2180077537779887,0.142318180455003,-2863.0,-2249.333333333333,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4243.005,10350.0,0.2180077537779887,0.142318180455003,-2863.0,-2249.333333333333,12.0,-68.60526315789474,38.0,0.9210526315789472,38.0,2552.625,-2104.25,-75753.0
